rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	FLT3	fms-related tyrosine kinase 3	3076	187	0	0	15	0	0	37	52	52	29	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	2.281625e-13
2	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2952	49	0	0	39	5	6	4	54	48	28	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	2.281625e-13
3	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	936	266	0	0	1	0	0	33	34	33	8	1.138010e-16	1.000000e-05	1.000000e-05	1.000000e-16	2.281625e-13
4	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1401	685	0	0	20	0	0	0	20	20	2	1.396337e-15	1.000000e-05	4.002100e-01	1.000000e-16	2.281625e-13
5	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	561	0	0	18	0	0	0	18	18	2	1.000000e-16	1.000000e-05	9.962400e-01	1.000000e-16	2.281625e-13
6	TET2	tet oncogene family member 2	6134	70	0	0	4	8	0	15	27	17	26	1.000000e-16	7.011800e-01	1.000000e-05	1.000000e-16	2.281625e-13
7	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	590	34	0	0	15	0	0	0	15	15	6	1.308329e-16	1.000000e-05	1.027200e-01	1.000000e-16	2.281625e-13
8	WT1	Wilms tumor 1	1590	101	0	0	2	0	2	8	12	12	10	1.000000e-16	1.700000e-03	9.966000e-01	1.000000e-16	2.281625e-13
9	U2AF1	U2 small nuclear RNA auxiliary factor 1	824	130	0	0	8	0	0	0	8	8	2	5.346651e-13	1.000000e-05	2.000000e-05	2.220446e-16	4.503311e-13
10	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	1520	1000	0	0	8	5	1	5	19	16	15	1.067979e-15	8.950000e-02	8.200000e-03	4.440892e-16	8.105960e-13
